avg_load,max_load,proc_cpu,mem_used_pct,procs_running,procs_blocked,loadavg1,loadavg5,loadavg15,psi_cpu_some,psi_cpu_full,proc_vms_kb,proc_rss_kb,proc_threads,proc_read_bytes,proc_write_bytes,boost_level
25,100,33.3,12.535627033291474,1,0,0.93,0.78,0.37,0.0,0.0,19596,15180.0,1.0,0.0,0.0,3
0,4,1.8,12.586014995657155,1,0,0.93,0.78,0.37,0.0,0.0,19788,15332.0,1.0,0.0,4096.0,0
0,2,1.8,12.575338734324228,1,1,0.93,0.78,0.37,0.0,0.0,19788,15344.0,1.0,0.0,4096.0,0
6,100,96.7,12.61013636179954,2,0,0.93,0.78,0.37,0.0,0.0,15884,11408.0,1.0,0.0,0.0,3
0,2,95.8,12.618617503979902,2,0,0.85,0.76,0.37,0.0,0.0,15884,11408.0,1.0,0.0,0.0,3
0,2,92.3,12.60372561609262,2,0,0.85,0.76,0.37,0.0,0.0,15884,11408.0,1.0,0.0,0.0,3
3,46,98.4,12.616621941113936,2,0,0.85,0.76,0.37,0.0,0.0,15884,11408.0,1.0,0.0,0.0,3
1,16,98.0,12.596067643594466,2,0,0.85,0.76,0.37,0.0,0.0,15884,11396.0,1.0,0.0,0.0,3
0,7,97.7,12.574490620106191,2,1,0.86,0.77,0.37,0.0,0.0,15884,11408.0,1.0,0.0,0.0,3
0,1,97.2,12.566533313178152,2,0,0.86,0.77,0.37,0.0,0.0,15884,11408.0,1.0,0.0,0.0,3
0,4,96.6,12.561145293440036,2,0,0.86,0.77,0.37,0.0,0.0,15884,11404.0,1.0,0.0,0.0,3
0,2,95.0,16.903440200713714,2,0,0.86,0.77,0.37,0.0,0.0,22168,20360.0,1.0,0.0,0.0,3
0,3,50.0,12.88168257878607,2,1,0.96,0.79,0.38,0.0,0.0,22168,20360.0,1.0,0.0,0.0,1
2,32,100.0,17.56027971804692,2,0,0.96,0.79,0.38,0.0,0.0,22168,20364.0,1.0,0.0,0.0,3
6,100,66.6,13.983807005124104,2,0,0.88,0.78,0.38,0.0,0.0,22168,20364.0,1.0,0.0,0.0,3
2,21,100.0,14.704803868598171,5,0,0.88,0.78,0.38,0.0,0.0,34727392,325520.0,37.0,0.0,278528.0,3
30,48,200.0,17.90164569080649,5,1,0.88,0.78,0.38,0.0,0.0,34773128,450256.0,37.0,0.0,991232.0,3
14,45,127.0,18.449776921016124,2,0,0.88,0.78,0.38,0.0,0.0,34773128,459028.0,35.0,0.0,5324800.0,3
10,97,91.3,18.62516195239884,3,0,0.88,0.78,0.38,0.0,0.0,34773128,457312.0,35.0,0.0,5324800.0,3
