avg_load,max_load,proc_cpu,target_pid,mem_used_pct,procs_running,procs_blocked,loadavg1,loadavg5,loadavg15,psi_cpu_some,psi_cpu_full,proc_vms_kb,proc_rss_kb,proc_threads,proc_read_bytes,proc_write_bytes,boost_level,timestamp
25,100,33.3,108814,12.535627033291474,1,0,0.93,0.78,0.37,0.0,0.0,19596,15180,1,0,0,3,1764010561.6288037
0,4,1.8,108814,12.586014995657157,1,0,0.93,0.78,0.37,0.0,0.0,19788,15332,1,0,4096,0,1764010562.140179
0,2,1.8,108814,12.575338734324227,1,1,0.93,0.78,0.37,0.0,0.0,19788,15344,1,0,4096,0,1764010562.6541748
6,100,96.7,108831,12.61013636179954,2,0,0.93,0.78,0.37,0.0,0.0,15884,11408,1,0,0,3,1764010564.7045193
0,2,95.8,108839,12.618617503979902,2,0,0.85,0.76,0.37,0.0,0.0,15884,11408,1,0,0,3,1764010566.2341354
0,2,92.3,108846,12.603725616092621,2,0,0.85,0.76,0.37,0.0,0.0,15884,11408,1,0,0,3,1764010567.7642593
3,46,98.4,108846,12.616621941113937,2,0,0.85,0.76,0.37,0.0,0.0,15884,11408,1,0,0,3,1764010568.2727113
1,16,98.0,108855,12.596067643594466,2,0,0.85,0.76,0.37,0.0,0.0,15884,11396,1,0,0,3,1764010569.8024092
0,7,97.7,108862,12.574490620106193,2,1,0.86,0.77,0.37,0.0,0.0,15884,11408,1,0,0,3,1764010571.3320389
0,1,97.2,108869,12.566533313178152,2,0,0.86,0.77,0.37,0.0,0.0,15884,11408,1,0,0,3,1764010572.8623524
0,4,96.6,108876,12.561145293440035,2,0,0.86,0.77,0.37,0.0,0.0,15884,11404,1,0,0,3,1764010574.3928494
0,2,95.0,108883,16.903440200713714,2,0,0.86,0.77,0.37,0.0,0.0,22168,20360,1,0,0,3,1764010575.9232404
0,3,50.0,108899,12.88168257878607,2,1,0.96,0.79,0.38,0.0,0.0,22168,20360,1,0,0,1,1764010578.4762127
2,32,100.0,108908,17.56027971804692,2,0,0.96,0.79,0.38,0.0,0.0,22168,20364,1,0,0,3,1764010580.0093873
6,100,66.6,108923,13.983807005124104,2,0,0.88,0.78,0.38,0.0,0.0,22168,20364,1,0,0,3,1764010582.560066
2,21,100.0,108932,14.704803868598171,5,0,0.88,0.78,0.38,0.0,0.0,34727392,325520,37,0,278528,3,1764010584.0924442
30,48,200.0,108932,17.90164569080649,5,1,0.88,0.78,0.38,0.0,0.0,34773128,450256,37,0,991232,3,1764010584.603659
14,45,127.0,108932,18.449776921016124,2,0,0.88,0.78,0.38,0.0,0.0,34773128,459028,35,0,5324800,3,1764010585.1141381
10,97,91.3,108932,18.625161952398837,3,0,0.88,0.78,0.38,0.0,0.0,34773128,457312,35,0,5324800,3,1764010585.6226053
11,88,114.0,109252,19.25259186199485,3,0,0.89,0.78,0.38,0.0,0.0,1461953168,293080,23,0,0,3,1764010586.6497684
5,18,95.6,109252,19.11674391989412,2,0,0.89,0.78,0.38,0.0,0.0,1461953168,293080,23,0,0,3,1764010587.158998
1,6,82.0,109252,19.09404439229373,1,0,0.89,0.78,0.38,0.0,0.0,1461953168,293604,23,0,0,3,1764010587.6680434
2,15,181.0,109616,14.717550526404544,5,0,0.98,0.8,0.39,0.0,0.0,34793160,402284,40,0,401408,3,1764010591.2428339
33,55,184.0,109616,17.81428992634876,2,1,0.98,0.8,0.39,0.0,0.0,34818708,453068,40,0,4829184,3,1764010591.7524288
18,64,117.0,109616,18.13293142697213,2,0,0.98,0.8,0.39,0.0,0.0,34818708,455664,38,0,4829184,3,1764010592.2619565
7,94,131.0,109933,18.576569996612534,2,1,0.98,0.8,0.39,0.0,0.0,1461953164,285072,23,0,0,3,1764010593.2879803
10,96,111.0,109933,18.61211596016258,2,0,0.98,0.8,0.39,0.0,0.0,1461953164,287756,23,0,0,3,1764010593.7976422
4,26,93.5,109933,18.363568605206325,1,0,0.98,0.8,0.39,0.0,0.0,1461953164,287756,23,0,0,3,1764010594.3070765
1,8,80.4,109933,18.397817452893495,1,0,0.98,0.8,0.39,0.0,0.0,1461953164,287756,23,0,0,3,1764010594.8185785
3,20,218.0,110265,15.15602557712925,8,1,0.98,0.8,0.4,0.0,0.0,51579796,438780,40,0,565248,3,1764010598.398734
33,53,161.0,110265,17.605703717783506,2,1,0.98,0.8,0.4,0.0,0.0,51595924,454044,38,0,4841472,3,1764010598.910016
13,66,107.0,110265,18.057000259922063,2,0,0.98,0.8,0.4,0.0,0.0,51595924,457188,38,0,4841472,3,1764010599.4197698
8,92,122.0,110582,18.378759827523506,2,0,0.98,0.8,0.4,0.0,0.0,1461953160,287180,23,0,0,3,1764010600.4460802
9,91,102.0,110582,18.14552841756355,1,0,0.9,0.79,0.39,0.0,0.0,1461953160,288388,23,0,0,3,1764010600.9555428
